epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,10.621877670288086,0.1552,0.14447047092705217,0.1552,0.08338002156505477,0.1467124884981828,0.15635617927178216,0.08362852539220791,0.1552,0.1552,0.1552
10,0.8720315098762512,0.7915,0.8071607387155044,0.7915,0.7911337311167338,0.8048378864091316,0.7873238109013605,0.7876589188731591,0.7915,0.7915,0.7915
20,0.48923829197883606,0.8739666666666667,0.8783680157433679,0.8739666666666667,0.8749034038670079,0.8767817390784209,0.8721485534113604,0.873177317745539,0.8739666666666667,0.8739666666666667,0.8739666666666667
30,0.3461436927318573,0.90515,0.9053832552644017,0.90515,0.9050141495651829,0.9045052015975305,0.9038824839710318,0.9039407097199943,0.90515,0.90515,0.90515
40,0.27285537123680115,0.92245,0.922546562439569,0.92245,0.9224367530060893,0.9217344020964713,0.9216858135261162,0.9216499100781119,0.92245,0.92245,0.92245
50,0.22679416835308075,0.9338833333333333,0.9338478870504545,0.9338833333333333,0.9338411376201609,0.933319107579719,0.9331901835672298,0.9332292123973291,0.9338833333333333,0.9338833333333333,0.9338833333333333
60,0.19465675950050354,0.94355,0.9436030773998262,0.94355,0.943564615419425,0.943170483193105,0.9430615647249716,0.9431038889709038,0.94355,0.94355,0.94355
70,0.1694345921278,0.95055,0.9505502351631462,0.95055,0.9505426125038773,0.9501665769446289,0.9501689303516407,0.9501603084487018,0.95055,0.95055,0.95055
80,0.14932207763195038,0.9563666666666667,0.9563656800628151,0.9563666666666667,0.9563623766745677,0.9560626330008049,0.9560286927726201,0.9560417580754915,0.9563666666666667,0.9563666666666667,0.9563666666666667
90,0.1327693909406662,0.96095,0.9609372062858802,0.96095,0.9609402318697075,0.9606856820159427,0.9606421950649375,0.9606604803261067,0.96095,0.96095,0.96095
100,0.11888044327497482,0.965,0.9649935819306805,0.965,0.9649941778810704,0.9647827399687146,0.9647509622431827,0.9647641734507628,0.965,0.965,0.965
110,0.10700488090515137,0.969,0.9689947201728366,0.969,0.968994551944472,0.9688164666769357,0.9687938173022518,0.9688022987212133,0.969,0.969,0.969
120,0.09670070558786392,0.972,0.9719895593428912,0.972,0.9719922434787897,0.9718443245602311,0.9718225911690628,0.9718309121182541,0.972,0.972,0.972
130,0.087644062936306,0.9749166666666667,0.9749102148160697,0.9749166666666667,0.9749117289986757,0.9747819203093459,0.9747710089664515,0.9747747491109632,0.9749166666666667,0.9749166666666667,0.9749166666666667
140,0.0796198844909668,0.9773833333333334,0.9773789535936356,0.9773833333333334,0.9773797304664893,0.9772645987209175,0.9772546027692819,0.9772581967845266,0.9773833333333334,0.9773833333333334,0.9773833333333334
150,0.07246554642915726,0.9796,0.979594051185694,0.9796,0.9795958813884985,0.9795006532227617,0.9794850371289318,0.9794917064835065,0.9796,0.9796,0.9796
160,0.06608958542346954,0.9818166666666667,0.9818136575924602,0.9818166666666667,0.9818136729247412,0.9817103701658889,0.9817391619582139,0.9817232905072663,0.9818166666666667,0.9818166666666667,0.9818166666666667
170,0.060343094170093536,0.9834333333333334,0.9834322841812284,0.9834333333333334,0.9834315683713556,0.9833374107470438,0.9833699886531309,0.983352471938111,0.9834333333333334,0.9834333333333334,0.9834333333333334
180,0.055130407214164734,0.98495,0.9849480416938156,0.98495,0.9849478110542998,0.984866277425321,0.9848984104012487,0.9848811460098894,0.98495,0.98495,0.98495
190,0.05042382702231407,0.9866333333333334,0.9866320458257365,0.9866333333333334,0.9866314364742054,0.9865656805491015,0.9865972133393915,0.9865802047201546,0.9866333333333334,0.9866333333333334,0.9866333333333334

************ Overall Performance ************
MLP Accuracy: 0.9651
F1-Score weighted: 0.9650841612760128
Recall weighted: 0.9651
Precision weighted: 0.9651110010969224
F1-Score macro: 0.9648596767953496
Recall macro: 0.9648974199191788
Precision macro: 0.9648643305335061
F1-Score micro: 0.9651
Recall micro: 0.9651
Precision micro: 0.9651
************ Finish ************
