epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,0.18200677633285522,0.07615,0.04454544836582046,0.07615,0.03500026875395877,0.04393432358937895,0.07560564696675884,0.03473721706953048,0.07615,0.07615,0.07615
10,0.06770025193691254,0.6840666666666667,0.6110474012423058,0.6840666666666667,0.6337678555083539,0.5990582534528273,0.6733657432132152,0.6220943848977383,0.6840666666666667,0.6840666666666667,0.6840666666666667
20,0.05095363408327103,0.7494166666666666,0.6186597500725618,0.7494166666666666,0.6750059847946256,0.60734348853824,0.7384698129449699,0.6637569342707376,0.7494166666666666,0.7494166666666666,0.7494166666666666
30,0.03939712792634964,0.8071,0.7424003502606716,0.8071,0.7639341514054728,0.7395900103361597,0.8010774487427982,0.7589383359340844,0.8071,0.8071,0.8071
40,0.03216172009706497,0.8427833333333333,0.7720384185940786,0.8427833333333333,0.8026176249963852,0.766914036206176,0.8409416892702544,0.7989311542151721,0.8427833333333333,0.8427833333333333,0.8427833333333333
50,0.028940901160240173,0.8581666666666666,0.7825025167003197,0.8581666666666666,0.8162788798617753,0.7784176942506179,0.8562722008561188,0.8131700707393378,0.8581666666666666,0.8581666666666666,0.8581666666666666
60,0.027005650103092194,0.8678833333333333,0.7919632668129207,0.8678833333333333,0.8256755123459024,0.7875830410421594,0.8662952913788103,0.822528798402854,0.8678833333333333,0.8678833333333333,0.8678833333333333
70,0.025738809257745743,0.8737,0.7980678249566784,0.8737,0.8314559753667287,0.7932139390260016,0.8722538185408778,0.8280818275055852,0.8737,0.8737,0.8737
80,0.024849841371178627,0.87785,0.8017858445946622,0.87785,0.8353988483193632,0.7969800491374057,0.8764096121634406,0.8320527305046133,0.87785,0.87785,0.87785
90,0.024165453389286995,0.8810333333333333,0.8048731818173843,0.8810333333333333,0.8384950255204672,0.799941880645835,0.8796472787223977,0.8350816216232045,0.8810333333333333,0.8810333333333333,0.8810333333333333
100,0.0236215740442276,0.8833833333333333,0.8066581005346932,0.8833833333333333,0.8406308027360384,0.8017755394419194,0.8819939330213689,0.8372353464065231,0.8833833333333333,0.8833833333333333,0.8833833333333333
110,0.023155130445957184,0.8855166666666666,0.8085360275493306,0.8855166666666666,0.8426538241166317,0.8035859464344787,0.8841300115674681,0.8392207238265732,0.8855166666666666,0.8855166666666666,0.8855166666666666
120,0.022791752591729164,0.8870833333333333,0.8100488366962396,0.8870833333333333,0.844181467177036,0.8050850035599437,0.8857198161322556,0.8407455720928576,0.8870833333333333,0.8870833333333333,0.8870833333333333
130,0.022511709481477737,0.8882166666666667,0.811019943084721,0.8882166666666667,0.8452372518527347,0.8060782129950284,0.8868642114167316,0.8418229917082307,0.8882166666666667,0.8882166666666667,0.8882166666666667
140,0.022294286638498306,0.8891666666666667,0.8117523397058459,0.8891666666666667,0.8460956010502414,0.806819378178097,0.8878247687847004,0.8426956297266985,0.8891666666666667,0.8891666666666667,0.8891666666666667
150,0.022106826305389404,0.8900333333333333,0.8125802828243963,0.8900333333333333,0.846938676384859,0.8076590095067722,0.8887053560176904,0.8435477781204079,0.8900333333333333,0.8900333333333333,0.8900333333333333
160,0.021967820823192596,0.8906333333333334,0.8126259780656211,0.8906333333333334,0.8473392974850258,0.8077956710285038,0.8893132680333823,0.8440128795774873,0.8906333333333334,0.8906333333333334,0.8906333333333334
170,0.021877555176615715,0.8909166666666667,0.8133476196624245,0.8909166666666667,0.8477629892717932,0.8084700920844133,0.889597541818563,0.844403483553074,0.8909166666666667,0.8909166666666667,0.8909166666666667
180,0.02178253047168255,0.8913833333333333,0.8138698118313681,0.8913833333333333,0.8482375591621971,0.8090090534219524,0.8900644186130842,0.8448893863418787,0.8913833333333333,0.8913833333333333,0.8913833333333333
190,0.021681685000658035,0.8918833333333334,0.8139197127230389,0.8918833333333334,0.8485798890089956,0.8091205078411337,0.8905652105569091,0.8452755006998214,0.8918833333333334,0.8918833333333334,0.8918833333333334
200,0.021608326584100723,0.8921833333333333,0.814166114874335,0.8921833333333333,0.8488545598084576,0.8093596010664083,0.8908644385445619,0.8455419741253024,0.8921833333333333,0.8921833333333333,0.8921833333333333
210,0.02154797874391079,0.89245,0.8143105521057484,0.89245,0.8490692881633101,0.8095786602629381,0.8911379537705397,0.8458084066573853,0.89245,0.89245,0.89245
220,0.0214996337890625,0.8926666666666667,0.8141309786167316,0.8926666666666667,0.8491599197558322,0.8094653930484883,0.891352998921619,0.8459472459032199,0.8926666666666667,0.8926666666666667,0.8926666666666667
230,0.021449703723192215,0.8929333333333334,0.8149304369287954,0.8929333333333334,0.8496000796523704,0.8102151012558464,0.8916162925439991,0.8463500869678761,0.8929333333333334,0.8929333333333334,0.8929333333333334
240,0.021386997774243355,0.8932166666666667,0.8152613529098358,0.8932166666666667,0.8498971844930447,0.8105696750040472,0.891889615256398,0.8466568461460608,0.8932166666666667,0.8932166666666667,0.8932166666666667
250,0.021340858191251755,0.8934333333333333,0.8161556979096795,0.8934333333333333,0.8503396256250146,0.8114467092427342,0.8921057304516387,0.8470797735146792,0.8934333333333333,0.8934333333333333,0.8934333333333333
260,0.021312672644853592,0.89355,0.8163289495860665,0.89355,0.8504748054233566,0.8116339469265317,0.8922214851709963,0.8472266562442291,0.89355,0.89355,0.89355
270,0.021274922415614128,0.8937166666666667,0.8169144285425923,0.8937166666666667,0.8507694185964583,0.8121448824525034,0.892389305008245,0.8474667602024157,0.8937166666666667,0.8937166666666667,0.8937166666666667
280,0.02124950848519802,0.89385,0.8172305523074737,0.89385,0.8509609809208675,0.8123703455974546,0.8925235582307056,0.8475976155453008,0.89385,0.89385,0.89385
290,0.02123616263270378,0.8938833333333334,0.8172356018965482,0.8938833333333334,0.850984469954819,0.8123685940902581,0.8925573249030002,0.8476178875724564,0.8938833333333334,0.8938833333333334,0.8938833333333334
300,0.02121158316731453,0.8940166666666667,0.8170158092752533,0.8940166666666667,0.8509987290121273,0.8123133835292314,0.8926820059467483,0.847735911920332,0.8940166666666667,0.8940166666666667,0.8940166666666667
310,0.021192757412791252,0.8941166666666667,0.816319245559042,0.8941166666666667,0.8508352702184602,0.811610888044591,0.8927825182904916,0.8475755626819707,0.8941166666666667,0.8941166666666667,0.8941166666666667
320,0.021176492795348167,0.8941833333333333,0.8174083192790922,0.8941833333333333,0.8512329788147333,0.8126165805495011,0.8928481092718835,0.8479107836230106,0.8941833333333333,0.8941833333333333,0.8941833333333333
330,0.021163582801818848,0.8942333333333333,0.817239587476138,0.8942333333333333,0.8512178556832173,0.8124437473722936,0.8928982950761075,0.8479016969350772,0.8942333333333333,0.8942333333333333,0.8942333333333333
340,0.021155215799808502,0.8942666666666667,0.8167999050853412,0.8942666666666667,0.8510906051688055,0.8120608865755023,0.8929325035971859,0.8478127684883221,0.8942666666666667,0.8942666666666667,0.8942666666666667
