epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,10.621877670288086,0.1552,0.14447047092705217,0.1552,0.08338002156505477,0.1467124884981828,0.15635617927178216,0.08362852539220791,0.1552,0.1552,0.1552
10,2.4646799564361572,0.46741666666666665,0.47124414031416084,0.46741666666666665,0.4619439101176059,0.4658250084590908,0.46202162753460374,0.4564849879566843,0.46741666666666665,0.46741666666666665,0.46741666666666665
20,1.1552027463912964,0.7082666666666667,0.7091266799930427,0.7082666666666667,0.706589407858108,0.7044688212628885,0.7027840111642963,0.7015089658433037,0.7082666666666667,0.7082666666666667,0.7082666666666667
30,0.8089138865470886,0.7926166666666666,0.792844082847126,0.7926166666666666,0.7922310890208637,0.7900035699725915,0.7891276401421634,0.789069359167539,0.7926166666666666,0.7926166666666666,0.7926166666666666
40,0.6400647163391113,0.8335666666666667,0.8340501780190531,0.8335666666666667,0.833692088256709,0.8316744300402764,0.8310820803979979,0.8312651445324736,0.8335666666666667,0.8335666666666667,0.8335666666666667
50,0.5398464202880859,0.85675,0.8566732959594352,0.85675,0.8566468323130948,0.8546882063043357,0.8547237292566378,0.8546395975460083,0.85675,0.85675,0.85675
60,0.4732775092124939,0.8716166666666667,0.8713995985549814,0.8716166666666667,0.8714568877394689,0.8698663039359575,0.869742082195969,0.8697517523005956,0.8716166666666667,0.8716166666666667,0.8716166666666667
70,0.4237879514694214,0.8825333333333333,0.8824364795035292,0.8825333333333333,0.8824513444313921,0.8810743931332053,0.8809209039884461,0.8809641674925273,0.8825333333333333,0.8825333333333333,0.8825333333333333
80,0.3843418061733246,0.89205,0.8918275325719991,0.89205,0.8919117039678666,0.8906175579939752,0.8905803232611647,0.8905715735804733,0.89205,0.89205,0.89205
90,0.3516041934490204,0.8999666666666667,0.8998352608919707,0.8999666666666667,0.8998704620754084,0.8986980111747943,0.8986399264758189,0.8986386680772359,0.8999666666666667,0.8999666666666667,0.8999666666666667
100,0.32382938265800476,0.90735,0.9072242024151311,0.90735,0.9072663248377093,0.9062020128358803,0.9061482693644581,0.9061545573324501,0.90735,0.90735,0.90735
110,0.29981184005737305,0.9135,0.9134194503503221,0.9135,0.9134412129933012,0.9124539915460691,0.912419379320833,0.912418436614711,0.9135,0.9135,0.9135
120,0.2788223624229431,0.9196833333333333,0.9196403581520938,0.9196833333333333,0.9196452118726383,0.9187679585436411,0.9187188114839087,0.9187270195195909,0.9196833333333333,0.9196833333333333,0.9196833333333333
130,0.2603079676628113,0.9246666666666666,0.9246176292174185,0.9246666666666666,0.9246299841097857,0.9237998884461669,0.923763891326329,0.923769884970304,0.9246666666666666,0.9246666666666666,0.9246666666666666
140,0.24386635422706604,0.9293333333333333,0.9292875483246489,0.9293333333333333,0.9292996220654085,0.9285242721114318,0.928513898484565,0.9285084163197096,0.9293333333333333,0.9293333333333333,0.9293333333333333
150,0.22905302047729492,0.93365,0.9336229975219306,0.93365,0.9336265521712075,0.9329215883893843,0.9329228535941738,0.9329123559341266,0.93365,0.93365,0.93365
160,0.21565279364585876,0.9376166666666667,0.9375758449665292,0.9376166666666667,0.9375874392485908,0.9369046693535716,0.9369507961174348,0.9369190253738084,0.9376166666666667,0.9376166666666667,0.9376166666666667
170,0.20345166325569153,0.9407666666666666,0.940730774180073,0.9407666666666666,0.9407410515483234,0.9401193862255338,0.9401363416433707,0.940120282403892,0.9407666666666666,0.9407666666666666,0.9407666666666666
180,0.19228599965572357,0.94445,0.9444157190179722,0.94445,0.9444256347051238,0.9438813335796791,0.9438643008268857,0.943865592224423,0.94445,0.94445,0.94445
190,0.1820726841688156,0.9474666666666667,0.9474402363899252,0.9474666666666667,0.9474463405176089,0.9469614056850906,0.9469154321070041,0.9469313476238467,0.9474666666666667,0.9474666666666667,0.9474666666666667

************ Overall Performance ************
MLP Accuracy: 0.9399
F1-Score weighted: 0.9398794307988694
Recall weighted: 0.9399
Precision weighted: 0.9399152718933707
F1-Score macro: 0.9392922685146914
Recall macro: 0.9392105238214608
Precision macro: 0.9394319062418172
F1-Score micro: 0.9399
Recall micro: 0.9399
Precision micro: 0.9399
************ Finish ************
