epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,2.323223352432251,0.07615,0.04454544836582046,0.07615,0.03500026875395877,0.04393432358937895,0.07560564696675884,0.03473721706953048,0.07615,0.07615,0.07615
10,1.7637523412704468,0.7072166666666667,0.5983851714633567,0.7072166666666667,0.6412985002708997,0.5860599923598014,0.6965499964854663,0.6295979434093384,0.7072166666666667,0.7072166666666667,0.7072166666666667
20,1.6691412925720215,0.7954666666666667,0.7252599837227952,0.7954666666666667,0.7541618732919262,0.7204590279431133,0.7900697869426117,0.7488399121269081,0.7954666666666667,0.7954666666666667,0.7954666666666667
30,1.6276779174804688,0.8345833333333333,0.7626591342208381,0.8345833333333333,0.7943594780029709,0.7580870073117965,0.8319401091405725,0.7906322160731044,0.8345833333333333,0.8345833333333333,0.8345833333333333
40,1.6081762313842773,0.8540333333333333,0.7771409010407417,0.8540333333333333,0.8119596225626649,0.7725012728277466,0.8519749804841364,0.8084596826518092,0.8540333333333333,0.8540333333333333,0.8540333333333333
50,1.5964115858078003,0.8655166666666667,0.7868295645063228,0.8655166666666667,0.822485852000996,0.7824754769545528,0.8639055575413483,0.8193667557413663,0.8655166666666667,0.8655166666666667,0.8655166666666667
60,1.5888653993606567,0.8724666666666666,0.7926867035659126,0.8724666666666666,0.828964550945853,0.7884512185885176,0.8709344829364427,0.8259425592800571,0.8724666666666666,0.8724666666666666,0.8724666666666666
70,1.583513617515564,0.8775333333333334,0.7967153502506485,0.8775333333333334,0.8336141946982034,0.7926054455933782,0.8760700936810842,0.8306852576083152,0.8775333333333334,0.8775333333333334,0.8775333333333334
80,1.5792468786239624,0.8816333333333334,0.8008478936310702,0.8816333333333334,0.837632456462849,0.7966513030897453,0.8802325785208449,0.8346776742772557,0.8816333333333334,0.8816333333333334,0.8816333333333334
90,1.575873851776123,0.8843833333333333,0.8032068037533671,0.8843833333333333,0.840208286062484,0.7990548479287934,0.8830059653602789,0.8372834013291142,0.8843833333333333,0.8843833333333333,0.8843833333333333
100,1.5733673572540283,0.8863166666666666,0.8057048884850698,0.8863166666666666,0.8422689887437482,0.8014789373149135,0.8849355355389577,0.839305411347477,0.8863166666666666,0.8863166666666666,0.8863166666666666
110,1.5711393356323242,0.88815,0.807195892862208,0.88815,0.8439685177490991,0.802950735709399,0.886789741723938,0.8410030346071095,0.88815,0.88815,0.88815
120,1.5691907405853271,0.8897,0.808299225027384,0.8897,0.8453559281158807,0.804064962656828,0.8883579830657693,0.8424087468728596,0.8897,0.8897,0.8897
130,1.5676915645599365,0.8908,0.809782603346393,0.8908,0.846545094876966,0.8054439283988175,0.8894755952903506,0.8435401442874507,0.8908,0.8908,0.8908
140,1.5665054321289062,0.8916333333333334,0.8106053815314891,0.8916333333333334,0.8473561939507652,0.8062608111244162,0.8903132169441645,0.8443520638372425,0.8916333333333334,0.8916333333333334,0.8916333333333334
