epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,10.621877670288086,0.1552,0.14447047092705217,0.1552,0.08338002156505477,0.1467124884981828,0.15635617927178216,0.08362852539220791,0.1552,0.1552,0.1552
10,0.7586326599121094,0.80505,0.816579817233987,0.80505,0.8055914835207453,0.8133328058083318,0.8027425618381209,0.8027167417006085,0.80505,0.80505,0.80505
20,0.4318629503250122,0.8805333333333333,0.8826357854735073,0.8805333333333333,0.8807466095095546,0.880473642772656,0.8794763113089088,0.8791349121826721,0.8805333333333333,0.8805333333333333,0.8805333333333333
30,0.30068886280059814,0.9137666666666666,0.9144515287616934,0.9137666666666666,0.9139168951671889,0.9134002069689858,0.91287388410861,0.9129466621187226,0.9137666666666666,0.9137666666666666,0.9137666666666666
40,0.23730997741222382,0.9299333333333333,0.9301501978190769,0.9299333333333333,0.929959216286852,0.9295336819284262,0.9291851160469571,0.9292738919954333,0.9299333333333333,0.9299333333333333,0.9299333333333333
50,0.19644398987293243,0.9422166666666667,0.9422182520023079,0.9422166666666667,0.9421739064955836,0.9417923461035418,0.9416331291979168,0.9416687963061758,0.9422166666666667,0.9422166666666667,0.9422166666666667
60,0.16714224219322205,0.9508833333333333,0.9509091457684541,0.9508833333333333,0.9508865740871472,0.9504830307008179,0.9505457310334332,0.9505045584576315,0.9508833333333333,0.9508833333333333,0.9508833333333333
70,0.1448691338300705,0.95705,0.9570302560844316,0.95705,0.9570365824787619,0.9567297408777952,0.9567381463299617,0.9567304414899975,0.95705,0.95705,0.95705
80,0.12701232731342316,0.9627333333333333,0.9627184277633285,0.9627333333333333,0.962723008664513,0.9624485093275895,0.9624945727062588,0.9624686534760665,0.9627333333333333,0.9627333333333333,0.9627333333333333
90,0.11252095550298691,0.967,0.9669802238747173,0.967,0.9669880655097742,0.9667564100910851,0.9667980563685914,0.9667751789944955,0.967,0.967,0.967
100,0.100205197930336,0.9708666666666667,0.9708540030367294,0.9708666666666667,0.9708582825528432,0.9706887264392938,0.9707050752438177,0.9706948652348265,0.9708666666666667,0.9708666666666667,0.9708666666666667
110,0.08967527002096176,0.9738,0.9737900642944419,0.9738,0.9737931104733442,0.9736488639320333,0.9736672983700894,0.9736561721977729,0.9738,0.9738,0.9738
120,0.08046681433916092,0.9767833333333333,0.9767726941696637,0.9767833333333333,0.9767760316256939,0.9766789196475042,0.9766613087442211,0.9766681486160099,0.9767833333333333,0.9767833333333333,0.9767833333333333
130,0.07234905660152435,0.9793666666666667,0.9793580634395849,0.9793666666666667,0.9793609142857835,0.979267700808534,0.9792550885953724,0.9792599500339974,0.9793666666666667,0.9793666666666667,0.9793666666666667
140,0.06509049236774445,0.9814666666666667,0.9814608877030252,0.9814666666666667,0.9814623110843196,0.9813699558138731,0.9813561527425874,0.9813615953936831,0.9814666666666667,0.9814666666666667,0.9814666666666667
150,0.05856192111968994,0.9837333333333333,0.9837254510323229,0.9837333333333333,0.9837279887874341,0.9836666951707029,0.9836393266187505,0.9836515960931675,0.9837333333333333,0.9837333333333333,0.9837333333333333
160,0.05268702283501625,0.9856,0.9855947784606018,0.9856,0.9855961921394815,0.985566649445983,0.9855239083859683,0.9855440679234908,0.9856,0.9856,0.9856
170,0.04750165343284607,0.9876666666666667,0.987664685601605,0.9876666666666667,0.987664232650462,0.9876266089379044,0.9876063693696235,0.9876150269013912,0.9876666666666667,0.9876666666666667,0.9876666666666667
180,0.04288681969046593,0.9891666666666666,0.989164021687996,0.9891666666666666,0.9891642188598108,0.9891312751613318,0.9891203524411031,0.9891246847091351,0.9891666666666666,0.9891666666666666,0.9891666666666666
190,0.0387939028441906,0.9903833333333333,0.9903824576183283,0.9903833333333333,0.9903820150855693,0.990361107733768,0.9903397481492773,0.9903495277153229,0.9903833333333333,0.9903833333333333,0.9903833333333333

************ Overall Performance ************
MLP Accuracy: 0.9643
F1-Score weighted: 0.9642760748134372
Recall weighted: 0.9643
Precision weighted: 0.9643288845063711
F1-Score macro: 0.9639236352767122
Recall macro: 0.9638925319156393
Precision macro: 0.9640309100827391
F1-Score micro: 0.9643
Recall micro: 0.9643
Precision micro: 0.9643
************ Finish ************
