epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,3.3964593410491943,0.07615,0.04454544836582046,0.07615,0.03500026875395877,0.04393432358937895,0.07560564696675884,0.03473721706953048,0.07615,0.07615,0.07615
10,1.2858365774154663,0.5694833333333333,0.5436466302231882,0.5694833333333333,0.519489574856025,0.5441744475026608,0.5611551406851852,0.5165459911433724,0.5694833333333333,0.5694833333333333,0.5694833333333333
20,0.7088280320167542,0.7777333333333334,0.7888457469883435,0.7777333333333334,0.7624558205467868,0.7889334126308538,0.7698590193844519,0.7570289328045898,0.7777333333333334,0.7777333333333334,0.7777333333333334
30,0.36819279193878174,0.8893166666666666,0.8917567278540119,0.8893166666666666,0.8893116842439944,0.8910472210084732,0.886957342083606,0.88768407235595,0.8893166666666666,0.8893166666666666,0.8893166666666666
40,0.3027206361293793,0.9049333333333334,0.9102633416014401,0.9049333333333334,0.903774101462154,0.9101638626797749,0.9027426735355555,0.9025192445203715,0.9049333333333334,0.9049333333333334,0.9049333333333334
50,0.22448202967643738,0.9318666666666666,0.932486021906461,0.9318666666666666,0.931386889837855,0.9323005486201541,0.930796816513143,0.9307528504257203,0.9318666666666666,0.9318666666666666,0.9318666666666666
60,0.19043463468551636,0.9408666666666666,0.9426831270355884,0.9408666666666666,0.9410353068596669,0.9415829913738405,0.9404307547251264,0.9402390831493725,0.9408666666666666,0.9408666666666666,0.9408666666666666
70,0.14455606043338776,0.9566166666666667,0.9569169100050817,0.9566166666666667,0.9567083208450613,0.9563506992418549,0.9563041490127914,0.9562693375590673,0.9566166666666667,0.9566166666666667,0.9566166666666667
80,0.12978172302246094,0.9606333333333333,0.9609058623974317,0.9606333333333333,0.9606699266323259,0.9606255587206812,0.9601194311664496,0.9602735758910101,0.9606333333333333,0.9606333333333333,0.9606333333333333
90,0.4411187171936035,0.86125,0.9057328196672974,0.86125,0.8341139516073687,0.9045530870291623,0.8596275070008398,0.8321458060572301,0.86125,0.86125,0.86125
100,0.11064106225967407,0.9666333333333333,0.9666352580594988,0.9666333333333333,0.9666308573012024,0.9662746449505437,0.9663474202657628,0.9663076504433695,0.9666333333333333,0.9666333333333333,0.9666333333333333
110,0.10259804129600525,0.9679833333333333,0.968189679050506,0.9679833333333333,0.9679923036988881,0.9678229184118846,0.9676587094992801,0.9676452074933575,0.9679833333333333,0.9679833333333333,0.9679833333333333
120,0.08860430866479874,0.9729,0.972933956095981,0.9729,0.9728949560030536,0.9726570150743153,0.9726308711893358,0.9726216136884945,0.9729,0.9729,0.9729
130,0.08365892618894577,0.97415,0.9742963139830887,0.97415,0.9741803551512357,0.9740381794984285,0.9738931138633017,0.9739237004459291,0.97415,0.97415,0.97415
140,0.07674868404865265,0.9765833333333334,0.9767395922112811,0.9765833333333334,0.9766038532410493,0.9765954609081181,0.9762897718385736,0.9763833003205088,0.9765833333333334,0.9765833333333334,0.9765833333333334
150,0.06668033450841904,0.9803166666666666,0.9803562110109484,0.9803166666666666,0.9803251711604607,0.9802134055711951,0.9801121891378614,0.9801515571929172,0.9803166666666666,0.9803166666666666,0.9803166666666666
160,0.06604785472154617,0.9796666666666667,0.9797689429095456,0.9796666666666667,0.9796743451779517,0.9795476822594271,0.9794512983053586,0.9794550020050865,0.9796666666666667,0.9796666666666667,0.9796666666666667
