epoch,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,0.11103011667728424,0.07615,0.04454544836582046,0.07615,0.03500026875395877,0.04393432358937895,0.07560564696675884,0.03473721706953048,0.07615,0.07615,0.07615
10,0.06832238286733627,0.47328333333333333,0.3036746370962849,0.47328333333333333,0.3602032044538297,0.2927050519317284,0.4594822159050575,0.3478056170195333,0.47328333333333333,0.47328333333333333,0.47328333333333333
20,0.04862726479768753,0.6363166666666666,0.5720543040435461,0.6363166666666666,0.5382410504035715,0.5615090094891595,0.6242973084868755,0.5261652380915114,0.6363166666666666,0.6363166666666666,0.6363166666666666
30,0.027560358867049217,0.80875,0.8178803191501888,0.80875,0.7782923283078422,0.8148625993820795,0.7992875242823226,0.7687558760174965,0.80875,0.80875,0.80875
40,0.013802727684378624,0.9088166666666667,0.9088544410251653,0.9088166666666667,0.90855732456432,0.9070671146892412,0.9069429921727206,0.9067187684515554,0.9088166666666667,0.9088166666666667,0.9088166666666667
50,0.009834583848714828,0.9356333333333333,0.9356234262152262,0.9356333333333333,0.9355710821348876,0.9347605545009301,0.9347130129234401,0.9346783285587223,0.9356333333333333,0.9356333333333333,0.9356333333333333
60,0.007416923064738512,0.9524833333333333,0.9524834960996043,0.9524833333333333,0.9524563675427943,0.9519445397349362,0.9519008157123409,0.9518945614378461,0.9524833333333333,0.9524833333333333,0.9524833333333333
70,0.005894474219530821,0.9633,0.9633147816704692,0.9633,0.9632934502210198,0.9629545517530407,0.9629708228670383,0.9629484272347714,0.9633,0.9633,0.9633
80,0.0048162140883505344,0.9711666666666666,0.9711789146321699,0.9711666666666666,0.9711625871798834,0.9709299319489946,0.9709711343987146,0.970940171130669,0.9711666666666666,0.9711666666666666,0.9711666666666666
90,0.003991513047367334,0.9769,0.9769156723945903,0.9769,0.97689943857289,0.9767322585979448,0.9767902213792062,0.9767527558379608,0.9769,0.9769,0.9769
100,0.003326669568195939,0.9813666666666667,0.9813845704826232,0.9813666666666667,0.9813681014585736,0.9812729064641996,0.9813045509274773,0.9812810786210123,0.9813666666666667,0.9813666666666667,0.9813666666666667
110,0.002794890431687236,0.9844666666666667,0.984486738195493,0.9844666666666667,0.9844696901556116,0.9843891436324897,0.9844343920389418,0.9844046920858327,0.9844666666666667,0.9844666666666667,0.9844666666666667
120,0.002355784410610795,0.9873833333333333,0.9873993624518471,0.9873833333333333,0.9873853855441587,0.9873278150477793,0.987379974264258,0.9873478804932427,0.9873833333333333,0.9873833333333333,0.9873833333333333
130,0.0019882111810147762,0.98945,0.9894624130833439,0.98945,0.9894513402468688,0.9894127926968,0.989467388023917,0.9894352034226221,0.98945,0.98945,0.98945
140,0.0016838497249409556,0.99125,0.9912572749697977,0.99125,0.991250579799848,0.9912172801145166,0.9912735502975176,0.9912423679494354,0.99125,0.99125,0.99125
