epoch,loss,accuracy,precision,recall,f1
0,2.3594887256622314,0.09523333333333334,0.159277969453626,0.09681700246962135,0.05893064077473775
10,1.92170250415802,0.5384333333333333,0.39041836235809557,0.5345109541485737,0.4308160360007479
20,1.8905062675476074,0.56995,0.37773359448761196,0.5660810525419468,0.44207939119490813
30,1.8813303709030151,0.57905,0.45121204765663736,0.5752619467849928,0.4548368405422553
40,1.8376497030258179,0.6225,0.4676996047629259,0.6253697295404906,0.5261086300632707
50,1.8051235675811768,0.65525,0.48506673347927104,0.6594094116769638,0.5507430642037044
60,1.7962933778762817,0.6641833333333333,0.4934700533820141,0.6690294827552841,0.5588487929475934
70,1.7914127111434937,0.6690333333333334,0.4969351050402541,0.6741299481694265,0.5628964619405064
80,1.7882981300354004,0.67215,0.49834078861815545,0.6774101930552503,0.5652573413527072
90,1.7861984968185425,0.6741333333333334,0.5002605528348596,0.6794883125354557,0.5670548094388289
100,1.7846500873565674,0.6755333333333333,0.5017104764143412,0.6809610550557996,0.5684951438122985
110,1.7833952903747559,0.6767,0.503070769143981,0.6821815784446386,0.5695771739695707
120,1.7824980020523071,0.67745,0.5035196087765509,0.6829663802944311,0.570164104069929
130,1.7817661762237549,0.6781333333333334,0.5040986644000436,0.6836803310818521,0.5707375032215577
140,1.7811568975448608,0.6785833333333333,0.5039924635048622,0.6841535562036499,0.5709543003677608
150,1.7808771133422852,0.6790166666666667,0.5055360463809468,0.684596249264537,0.571923758909654
160,1.780297875404358,0.6793166666666667,0.5038303519294683,0.6848938140696881,0.5713137750901696
170,1.7801042795181274,0.6797166666666666,0.5067104290726235,0.6853064563196328,0.5727139001199475
180,1.7795937061309814,0.6799333333333333,0.5052517099124156,0.6855260750310468,0.572314870141318
190,1.7796250581741333,0.6802,0.5058815581220578,0.6857925332149712,0.5727655813369122
200,1.779442310333252,0.6803666666666667,0.5062765434452854,0.685954845557073,0.5731736468012419
210,1.77896249294281,0.6805333333333333,0.5065423670777767,0.686124078406647,0.5732214115900908
220,1.7786532640457153,0.6806666666666666,0.5057046986633598,0.6862576994401985,0.5727916199987435
230,1.7787976264953613,0.6808833333333333,0.5081894439682118,0.6864529190379022,0.5742835802308968
240,1.778626799583435,0.681,0.5073601039001401,0.6865668293476194,0.5737212316127607
250,1.7781561613082886,0.6811833333333334,0.5056190627918509,0.6867453284422449,0.5729912266336141
260,1.777933955192566,0.6813166666666667,0.5033257399159128,0.6868837534435986,0.5721301882843719
270,1.7778291702270508,0.6814833333333333,0.5073187019654922,0.687054910635925,0.5739042695391047
280,1.7777765989303589,0.6816666666666666,0.5036013473466416,0.6872421687929137,0.5723940866076297
290,1.7774931192398071,0.68185,0.5041524411465079,0.6874298818180934,0.5728296467634258
300,1.7771371603012085,0.68195,0.5077985259810097,0.6875376433739266,0.5745432122037273
310,1.7772321701049805,0.6821,0.5057218710367053,0.6876874620738854,0.5734157976915745
320,1.7770193815231323,0.6822666666666667,0.5072478310111959,0.6878545294474208,0.5746058403725388
330,1.776611566543579,0.6823166666666667,0.5084752699490338,0.6879009783910746,0.5750219428545525
340,1.7764867544174194,0.6824,0.5073943909746392,0.6879773990624074,0.5744875301076313
350,1.7764687538146973,0.6825,0.5039929249336392,0.6880704953104952,0.5730827659161885
360,1.7761787176132202,0.6826666666666666,0.5074596199478887,0.6882316632653513,0.5746269842155561
370,1.7761147022247314,0.6828166666666666,0.5068215561253205,0.6883839568309351,0.574304990251111
380,1.7759034633636475,0.6828833333333333,0.5060351939069739,0.6884517073335275,0.5741713667199952
390,1.7758822441101074,0.6829,0.5066094920579062,0.6884687984290666,0.5744314479470845
400,1.7758541107177734,0.6829833333333334,0.5068492377422678,0.6885554424272617,0.5745752205833332
410,1.7758327722549438,0.6830166666666667,0.5101377554692149,0.6885893176785579,0.5757448871819437
420,1.7757887840270996,0.6830666666666667,0.5085257115845886,0.6886394801896902,0.5752284792887681
430,1.7754881381988525,0.6832166666666667,0.5082115844333098,0.6887893886714277,0.5752295072095228
440,1.7752937078475952,0.6834833333333333,0.5072896904116033,0.6890561434295717,0.5747501530727934
450,1.7745906114578247,0.6836833333333333,0.5089799294903502,0.6892571589047934,0.5760126499703568
460,1.7745916843414307,0.6838,0.5105505361038875,0.6893783721659996,0.5769182913483651
470,1.7742222547531128,0.6840333333333334,0.5098566449701518,0.6896163971135729,0.5761524870182261
480,1.7736859321594238,0.6841666666666667,0.5071272436060038,0.6897536790546032,0.5753384131324447
490,1.773512840270996,0.6842666666666667,0.5095491962966697,0.6898557372586642,0.5766827405328904

************ Overall Performance ************
MLP Accuracy: 0.677
************ Finish ************
